rk,player,pos,squad,age,club,born,mp,starts,min,90s,gls,ast,gpa,g_pk,pk,pkatt,crdy,crdr,gls_p90,ast,gpa,g_pk,gpa_pk,matches,_9999,rk_sh,player_sh,pos_sh,squad_sh,gls_sh,sh,sot,sotpct,sh_per_90,sot_per_90,g_per_sh,g_per_sot,pk_sh,pkatt_sh,matches_sh,_9999_sh,rk_misc,player_misc,pos_misc,squad_misc,crdy_misc,crdr_misc,2crdy,fls,fld,off,crs,int,tklw,pkwon,pkcon,og,matches_misc,_9999_misc,rk_gk,player_gk,pos_gk,squad_gk,club_gk,mp_gk,starts_gk,min_gk,90s_gk,ga,ga90,sota,saves,savepct,w,d,l,cs,cspct,pkatt_gk,pka,pksv,pkm,savepct.1,matches_gk,_9999_gk,min_sb,90s_sb,gls_sb,ast_sb,sh_sb,crs_sb,tklw_sb,int_sb,fls_sb,att_sb,succ_sb,carries_sb,prgcarries_sb,saves_sb,ga_sb,sota_sb,save%_sb,cs_sb,gls_p90_sb,ast_p90_sb,sh_p90_sb,crs_p90_sb,tklw_p90_sb,int_p90_sb,att_p90_sb,succ_p90_sb,carries_p90_sb,prgcarries_p90_sb,saves_p90_sb,cs_p90_sb,player_sb,match_stage,pressures_p90,pressures_final_third_p90,pressures_mid_third_p90,claims_p90,sweeper_clearances_p90,headed_clearances_p90,recoveries_p90,passes_received_p90,one_touch_finishes_p90,launch_passes_p90,def_actions_outside_box_p90,avg_def_position_y,touches_wide_p90,touches_halfspace_p90,touches_6yard_box_p90,final_third_entries_p90,carries_into_box_p90,goals_prevented_p90,reflex_saves_p90,cross_accuracy_pct,headers_p90,Gls_p90,Ast_p90,Sh_p90,SoT_p90,Crs_p90,Int_p90,TklW_p90,Fls_p90,Fld_p90,Off_p90,Saves_p90,GA_p90,CS_p90,PK_p90,PKatt_p90,PKwon_p90,PKcon_p90,OG_p90,CrdY_p90,CrdR_p90,Min_p90,MP_p90,Starts_p90,save_pct,conversion_pct,shots_on_target_pct,position_group,primary_position
423,Aaron Mooy,MF,au Australia,31.0,1.sct Celtic,1990.0,4.0,4.0,360.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,47b7e3af,423,Aaron Mooy,MF,au Australia,0.0,1.0,0.0,0.0,0.25,0.0,0.0,,0.0,0.0,Matches,47b7e3af,423,Aaron Mooy,MF,au Australia,1.0,0.0,0.0,4.0,1.0,0.0,10.0,2.0,6.0,,,0.0,Matches,47b7e3af,,,,,,,,,,,,,,,,,,,,,,,,,,,360.0,4.0,0.0,0.0,1.0,4.0,2.0,3.0,6.0,5.0,2.0,155.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,1.0,0.5,0.75,1.25,0.5,38.75,2.75,0.0,0.0,Aaron Mooy,exact,11.0,1.5,5.75,0.0,0.0,0.75,8.0,40.5,0.25,0.0,0.0,0.0,14.0,12.75,0.0,9.5,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.25,0.0,2.5,0.5,1.5,1.0,0.25,0.0,,,,0.0,0.0,,,0.0,0.25,0.0,90.0,1.0,1.0,,0.0,0.0,MF,MF
504,Aaron Ramsey,MF,wls Wales,31.0,1.fr Nice,1990.0,3.0,3.0,266.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,ef619b0b,504,Aaron Ramsey,MF,wls Wales,0.0,1.0,0.0,0.0,0.34,0.0,0.0,,0.0,0.0,Matches,ef619b0b,504,Aaron Ramsey,MF,wls Wales,1.0,0.0,0.0,3.0,3.0,0.0,5.0,0.0,0.0,,,0.0,Matches,ef619b0b,,,,,,,,,,,,,,,,,,,,,,,,,,,266.0,3.0,0.0,0.0,1.0,3.0,1.0,1.0,3.0,9.0,3.0,100.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,1.0,0.3333333333333333,0.3333333333333333,3.0,1.0,33.333333333333336,1.0,0.0,0.0,Aaron Ramsey,exact,18.0,2.0,11.0,0.0,0.0,0.6666666666666666,4.666666666666667,43.666666666666664,0.3333333333333333,0.0,0.0,0.0,14.666666666666666,10.666666666666666,0.0,5.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333,0.0,1.6666666666666667,0.0,0.0,1.0,1.0,0.0,,,,0.0,0.0,,,0.0,0.3333333333333333,0.0,88.66666666666667,1.0,1.0,,0.0,0.0,MF,MF
244,Abdelkarim Hassan,DF,qa Qatar,28.0,1.qa Al Sadd,1993.0,3.0,3.0,270.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,7380bccf,244,Abdelkarim Hassan,DF,qa Qatar,0.0,6.0,0.0,0.0,2.0,0.0,0.0,,0.0,0.0,Matches,7380bccf,244,Abdelkarim Hassan,DF,qa Qatar,0.0,0.0,0.0,1.0,4.0,1.0,6.0,1.0,3.0,,,0.0,Matches,7380bccf,,,,,,,,,,,,,,,,,,,,,,,,,,,270.0,3.0,0.0,0.0,6.0,3.0,2.0,3.0,2.0,3.0,2.0,132.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.6666666666666666,1.0,1.0,0.6666666666666666,44.0,7.333333333333333,0.0,0.0,Abdelkarim Hassan Al Haj Fadlalla,token-subset,9.666666666666666,1.0,1.6666666666666667,0.0,0.0,2.0,4.0,48.333333333333336,1.0,0.0,0.0,0.0,26.0,16.333333333333332,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.3333333333333333,1.0,0.3333333333333333,1.3333333333333333,0.3333333333333333,,,,0.0,0.0,,,0.0,0.0,0.0,90.0,1.0,1.0,,0.0,0.0,DF,DF
155,Abdou Diallo,DF,sn Senegal,26.0,1.de RB Leipzig,1996.0,4.0,4.0,331.0,3.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,fc62f087,155,Abdou Diallo,DF,sn Senegal,0.0,1.0,0.0,0.0,0.27,0.0,0.0,,0.0,0.0,Matches,fc62f087,155,Abdou Diallo,DF,sn Senegal,0.0,0.0,0.0,3.0,0.0,0.0,3.0,1.0,2.0,,,0.0,Matches,fc62f087,,,,,,,,,,,,,,,,,,,,,,,,,,,331.0,3.7,0.0,0.0,1.0,2.0,2.0,1.0,4.0,0.0,0.0,130.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2702702702702702,0.5405405405405405,0.5405405405405405,0.2702702702702702,0.0,0.0,35.13513513513514,3.243243243243243,0.0,0.0,Abdou Diallo,exact,6.756756756756756,0.8108108108108107,1.3513513513513513,0.0,0.0,1.6216216216216215,1.3513513513513513,40.27027027027027,0.0,0.0,0.0,0.0,17.027027027027025,9.72972972972973,0.0,8.648648648648647,0.0,0.0,0.0,1.0,0.27027027027027023,0.0,0.0,0.27027027027027023,0.0,0.8108108108108107,0.27027027027027023,0.5405405405405405,0.8108108108108107,0.0,0.0,,,,0.0,0.0,,,0.0,0.0,0.0,89.45945945945945,1.081081081081081,1.081081081081081,,0.0,0.0,DF,DF
242,Achraf Hakimi,DF,ma Morocco,23.0,1.fr PSG,1998.0,7.0,7.0,631.0,7.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14,0.14,0.0,0.14,Matches,e42d61c7,242,Achraf Hakimi,DF,ma Morocco,0.0,4.0,1.0,25.0,0.57,0.14,0.0,0.0,0.0,0.0,Matches,e42d61c7,242,Achraf Hakimi,DF,ma Morocco,0.0,0.0,0.0,6.0,13.0,0.0,12.0,9.0,18.0,,,0.0,Matches,e42d61c7,,,,,,,,,,,,,,,,,,,,,,,,,,,600.0,6.7,0.0,1.0,4.0,10.0,3.0,11.0,10.0,8.0,3.0,283.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1492537313432835,0.5970149253731343,1.4925373134328357,0.4477611940298507,1.6417910447761193,1.1940298507462686,0.4477611940298507,42.23880597014925,1.9402985074626864,0.0,0.0,Achraf Hakimi Mouh,token-subset,14.857142857142858,2.5714285714285716,3.7142857142857144,0.0,0.0,0.7142857142857143,6.142857142857143,43.857142857142854,0.14285714285714285,0.0,0.0,0.0,34.857142857142854,5.571428571428571,0.0,5.0,0.42857142857142855,0.0,0.0,0.5,0.0,0.0,0.14285714285714285,0.5714285714285714,0.14285714285714285,1.7142857142857142,1.2857142857142858,2.5714285714285716,0.8571428571428571,1.8571428571428572,0.0,,,,0.0,0.0,,,0.0,0.0,0.0,90.14285714285714,1.0,1.0,,0.0,0.2499999999375,DF,DF
500,Adrien Rabiot,MF,fr France,27.0,1.it Juventus,1995.0,6.0,5.0,483.0,5.4,1.0,1.0,2.0,1.0,0.0,0.0,1.0,0.0,0.19,0.19,0.37,0.19,0.37,Matches,8794e251,500,Adrien Rabiot,MF,fr France,1.0,9.0,4.0,44.4,1.68,0.75,0.11,0.25,0.0,0.0,Matches,8794e251,500,Adrien Rabiot,MF,fr France,1.0,0.0,0.0,10.0,4.0,0.0,7.0,9.0,9.0,,,0.0,Matches,8794e251,,,,,,,,,,,,,,,,,,,,,,,,,,,483.0,5.4,1.0,1.0,9.0,6.0,1.0,10.0,9.0,3.0,1.0,220.0,6.0,0.0,0.0,0.0,0.0,0.0,0.1851851851851851,0.1851851851851851,1.6666666666666663,1.111111111111111,0.1851851851851851,1.851851851851852,0.5555555555555555,0.1851851851851851,40.74074074074074,1.111111111111111,0.0,0.0,Adrien Rabiot,exact,15.555555555555555,2.222222222222222,8.333333333333332,0.0,0.0,1.111111111111111,4.444444444444444,50.18518518518518,0.7407407407407407,0.0,0.0,0.0,17.037037037037035,13.148148148148147,0.37037037037037035,7.4074074074074066,0.37037037037037035,0.0,0.0,0.3333333333333333,0.5555555555555555,0.18518518518518517,0.18518518518518517,1.6666666666666665,0.7407407407407407,1.2962962962962963,1.6666666666666665,1.6666666666666665,1.8518518518518516,0.7407407407407407,0.0,,,,0.0,0.0,,,0.0,0.18518518518518517,0.0,89.44444444444444,1.111111111111111,0.9259259259259258,,0.11111111109876542,0.4444444443950617,MF,MF
15,Akram Afif,FW,qa Qatar,25.0,1.qa Al Sadd,1996.0,3.0,3.0,270.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,fd53d9e7,15,Akram Afif,FW,qa Qatar,0.0,2.0,0.0,0.0,0.67,0.0,0.0,,0.0,0.0,Matches,fd53d9e7,15,Akram Afif,FW,qa Qatar,1.0,0.0,0.0,2.0,6.0,1.0,13.0,0.0,0.0,,,0.0,Matches,fd53d9e7,,,,,,,,,,,,,,,,,,,,,,,,,,,270.0,3.0,0.0,0.0,2.0,6.0,0.0,0.0,2.0,7.0,3.0,143.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,2.0,0.0,0.0,2.333333333333333,1.0,47.66666666666666,2.333333333333333,0.0,0.0,Akram Hassan Afif,token-subset,7.666666666666667,3.3333333333333335,3.0,0.0,0.0,0.0,5.666666666666667,62.666666666666664,0.3333333333333333,0.0,0.0,0.0,25.0,14.666666666666666,0.0,6.0,1.0,0.0,0.0,0.5,0.0,0.0,0.0,0.6666666666666666,0.0,4.333333333333333,0.0,0.0,0.6666666666666666,2.0,0.3333333333333333,,,,0.0,0.0,,,0.0,0.3333333333333333,0.0,90.0,1.0,1.0,,0.0,0.0,FW,FW
361,Alexis Mac Allister,MF,ar Argentina,23.0,1.eng Brighton,1998.0,6.0,6.0,550.0,6.1,1.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.16,0.16,0.33,0.16,0.33,Matches,83d074ff,361,Alexis Mac Allister,MF,ar Argentina,1.0,7.0,4.0,57.1,1.15,0.65,0.14,0.25,0.0,0.0,Matches,83d074ff,361,Alexis Mac Allister,MF,ar Argentina,0.0,0.0,0.0,1.0,13.0,0.0,1.0,3.0,4.0,,,0.0,Matches,83d074ff,,,,,,,,,,,,,,,,,,,,,,,,,,,519.0,5.8,1.0,1.0,7.0,2.0,1.0,4.0,1.0,6.0,5.0,253.0,15.0,0.0,0.0,0.0,0.0,0.0,0.1724137931034483,0.1724137931034483,1.206896551724138,0.3448275862068966,0.1724137931034483,0.6896551724137931,1.0344827586206895,0.8620689655172414,43.62068965517241,2.586206896551724,0.0,0.0,Alexis Mac Allister,exact,11.475409836065575,3.114754098360656,5.573770491803279,0.0,0.0,0.49180327868852464,4.754098360655738,49.50819672131148,0.819672131147541,0.0,0.0,0.0,14.754098360655739,12.950819672131148,0.1639344262295082,4.918032786885246,0.0,0.0,0.0,0.5,0.1639344262295082,0.1639344262295082,0.1639344262295082,1.1475409836065575,0.6557377049180328,0.1639344262295082,0.49180327868852464,0.6557377049180328,0.1639344262295082,2.1311475409836067,0.0,,,,0.0,0.0,,,0.0,0.0,0.0,90.16393442622952,0.9836065573770493,0.9836065573770493,,0.1428571428367347,0.5714285713469388,MF,MF
26,Alisson,GK,br Brazil,29.0,1.eng Liverpool,1992.0,4.0,4.0,379.0,4.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,7a2e46a8,26,Alisson,GK,br Brazil,0.0,0.0,0.0,,0.0,0.0,,,0.0,0.0,Matches,7a2e46a8,26,Alisson,GK,br Brazil,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,,0.0,Matches,7a2e46a8,1,Alisson,GK,br Brazil,1.eng Liverpool,4.0,4.0,379.0,4.2,2.0,0.47,7.0,5.0,71.4,3.0,1.0,0.0,2.0,50.0,0.0,0.0,0.0,0.0,,Matches,7a2e46a8,349.0,3.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.0,0.0,5.0,2.0,7.0,71.4,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.564102564102564,0.0,1.2820512820512822,0.5128205128205129,Alisson Ramsés Becker,token-subset,0.0,0.0,0.0,0.23809523809523808,0.23809523809523808,0.0,5.476190476190476,10.476190476190476,0.0,3.571428571428571,9.285714285714285,41.29959349593496,0.47619047619047616,0.7142857142857143,0.0,1.1904761904761905,0.0,-0.2353015459523809,0.23809523809523808,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23809523809523808,0.0,1.1904761904761905,0.47619047619047616,0.47619047619047616,0.0,0.0,,,0.0,0.0,0.0,90.23809523809524,0.9523809523809523,0.9523809523809523,0.7142857141836735,0.0,0.0,GK,GK
292,Alistair Johnston,DF,ca Canada,23.0,1.us CF Montréal,1998.0,3.0,3.0,270.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,4fb17e20,292,Alistair Johnston,DF,ca Canada,0.0,2.0,1.0,50.0,0.67,0.33,0.0,0.0,0.0,0.0,Matches,4fb17e20,292,Alistair Johnston,DF,ca Canada,1.0,0.0,0.0,5.0,3.0,0.0,8.0,2.0,3.0,,,0.0,Matches,4fb17e20,,,,,,,,,,,,,,,,,,,,,,,,,,,270.0,3.0,0.0,0.0,2.0,4.0,1.0,2.0,5.0,0.0,0.0,123.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,1.3333333333333333,0.3333333333333333,0.6666666666666666,0.0,0.0,41.0,1.3333333333333333,0.0,0.0,Alistair Johnston,exact,12.666666666666666,2.6666666666666665,6.666666666666667,0.0,0.0,1.6666666666666667,4.666666666666667,42.333333333333336,0.0,0.0,0.0,0.0,25.666666666666668,9.666666666666666,0.6666666666666666,9.333333333333334,0.0,0.0,0.0,0.5,0.3333333333333333,0.0,0.0,0.6666666666666666,0.3333333333333333,2.6666666666666665,0.6666666666666666,1.0,1.6666666666666667,1.0,0.0,,,,0.0,0.0,,,0.0,0.3333333333333333,0.0,90.0,1.0,1.0,,0.0,0.49999999975,DF,DF
